key,status,en_value,zh_hans_value
"About","translated","About","关于"
"Accent color","translated","Accent color","首选颜色"
"Accessibility Access Required","missing_zh","",""
"Additional features","translated","Additional features","其他功能"
"Advanced","zh_same_as_en","Advanced","Advanced"
"Album Art","missing_zh","Album Art",""
"Always show full event titles","zh_same_as_en","Always show full event titles","Always show full event titles"
"Always show tabs","translated","Always show tabs","总是显示标签页"
"Animation speed","missing_zh","",""
"App icon","translated","App icon","应用图标"
"Appearance","translated","Appearance","外观"
"Auto-scroll to next event","zh_same_as_en","Auto-scroll to next event","Auto-scroll to next event"
"Automatically check for updates","translated","Automatically check for updates","自动检查更新"
"Automatically download updates","translated","Automatically download updates","自动下载更新"
"Automatically switch displays","translated","Automatically switch displays","自动切换显示器"
"Battery","translated","Battery","电池"
"Battery Information","translated","Battery Information","电池信息"
"BetterDisplay is not installed or not running","missing_zh","BetterDisplay is not installed or not running",""
"Brightness Source","missing_zh","",""
"Built-in","missing_zh","Built-in",""
"Calendar","translated","Calendar","日历"
"Calendar access is denied. Please enable it in System Settings.","translated","Calendar access is denied. Please enable it in System Settings.","日历访问被拒绝。请在系统设置中启用它。"
"Calendars","translated","Calendars","日历"
"Celsius","missing_zh","Celsius",""
"Change media with horizontal gestures","zh_same_as_en","Change media with horizontal gestures","Change media with horizontal gestures"
"Check for Updates…","translated","Check for Updates…","检查更新…"
"Choose any color","zh_same_as_en","Choose any color","Choose any color"
"Choose between your system accent color or customize it with your own selection.","missing_zh","Choose between your system accent color or customize it with your own selection.",""
"Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately.","zh_same_as_en","Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately.","Choose which service to use when sharing files from the shelf. Click the shelf button to select files, or drag files onto it to share immediately."
"Circle","translated","Circle","圆形"
"City suggestions","missing_zh","City suggestions",""
"Clear slot","zh_same_as_en","Clear slot","Clear slot"
"Close","translated","Close","关闭"
"Close gesture","translated","Close gesture","关闭手势"
"Color Presets","zh_same_as_en","Color Presets","Color Presets"
"Colored spectrogram","zh_same_as_en","Colored spectrogram","Colored spectrogram"
"Coming soon","translated","Coming soon","即将上线"
"Control Sources","missing_zh","",""
"Copy items on drag","zh_same_as_en","Copy items on drag","Copy items on drag"
"Current and forecast","missing_zh","Current and forecast",""
"Current weather only","missing_zh","Current weather only",""
"Currently selected: \(selectedProvider.id)","missing_zh","Currently selected: \(selectedProvider.id)",""
"Custom","zh_same_as_en","Custom","Custom"
"Custom height","translated","Custom height","自定义高度"
"Customize which controls appear in the music player. Volume expands when active.","zh_same_as_en","Customize which controls appear in the music player. Volume expands when active.","Customize which controls appear in the music player. Volume expands when active."
"Default","translated","Default","默认"
"Define what happens when you hold the Option key while pressing media keys.","missing_zh","Define what happens when you hold the Option key while pressing media keys.",""
"Drag a control onto a slot","zh_same_as_en","Drag a control onto a slot","Drag a control onto a slot"
"Drag items in the preview to reorder or drop from the palette","zh_same_as_en","Drag items in the preview to reorder or drop from the palette","Drag items in the preview to reorder or drop from the palette"
"Edit layout","translated","Edit layout","编辑布局"
"Enable blur effect behind album art","translated","Enable blur effect behind album art","启用专辑封面的模糊效果"
"Enable boring mirror","translated","Enable boring mirror","启用虚拟镜像"
"Enable gestures","translated","Enable gestures","启用手势"
